kristal_subscription_id,skey,fund_id,fkey
67382.0,0|15672|1289131,,
2069283.0,0|15672|1290930,,
2073317.0,0|15672|1291009,,
24443.0,0|15676|1224590,,
26653.0,0|15676|1263794,,
51574.0,0|15676|1272135,,
60214.0,0|15676|1285733,,
2073285.0,0|15676|1295679,,
12622.0,0|15760|1260832,,
33571.0,0|15760|1271155,,
12401.0,0|15767|1247440,,
12559.0,0|15767|1264369,,
38963.0,0|15767|1277083,,
23570.0,0|15825|1267189,,
13332.0,0|15852|1264586,,
12591.0,0|15865|1264370,,
2068995.0,0|15865|1274546,,
18325.0,0|15951|1267189,,
15276.0,0|15998|1224590,,
15277.0,0|15998|1263794,,
43812.0,0|16059|1223971,,
38462.0,0|16059|1244852,,
21706.0,0|16059|1247440,,
17025.0,0|16059|1263198,,
13252.0,0|16059|1264382,,
13290.0,0|16059|1264383,,
13646.0,0|16059|1264388,,
17653.0,0|16059|1266120,,
30845.0,0|16059|1271155,,
38380.0,0|16059|1276061,,
39320.0,0|16059|1277352,,
39422.0,0|16059|1277357,,
2073111.0,0|16059|1294626,,
2073309.0,0|16059|1295553,,
15263.0,0|16071|1224590,,
13401.0,0|16071|1229622,,
15264.0,0|16071|1263794,,
14976.0,0|16071|1264404,,
15233.0,0|16071|1266098,,
20467.0,0|16071|1268723,,
20542.0,0|16071|1269095,,
2068008.0,0|16071|1270394,,
2068878.0,0|16071|1274546,,
19571.0,0|16084|1267189,,
13763.0,0|16183|1264388,,
17957.0,0|16183|1266124,,
13762.0,0|16184|1264388,,
13999.0,0|16184|1264393,,
17959.0,0|16184|1266124,,
17953.0,0|16184|1266125,,
20725.0,0|16185|1247440,,
13761.0,0|16185|1264388,,
17961.0,0|16185|1266124,,
2068353.0,0|16185|1270394,,
2073103.0,0|16185|1294626,,
2073306.0,0|16185|1295553,,
14979.0,0|16264|1211449,,
15278.0,0|16264|1224590,,
15279.0,0|16264|1263794,,
23723.0,0|16264|1269908,,
52095.0,0|16381|1278657,,
14885.0,0|16501|1263198,,
24174.0,0|16501|1267189,,
2072687.0,0|16501|1294694,,
15032.0,0|16532|1211600,,
37221.0,0|16532|1244852,,
21707.0,0|16532|1247440,,
21821.0,0|16532|1263198,,
17549.0,0|16532|1263794,,
21427.0,0|16532|1266168,,
29069.0,0|16532|1266200,,
46959.0,0|16532|1270394,,
35396.0,0|16532|1274879,,
36427.0,0|16532|1275311,,
66027.0,0|16532|1278657,,
43390.0,0|16532|1280657,,
66026.0,0|16532|1283688,,
65738.0,0|16532|1287327,,
17552.0,0|16676|1263794,,
23725.0,0|16676|1269908,,
33807.0,0|16676|1274012,,
63958.0,0|16676|1287326,,
19670.0,0|16702|1211600,,
52790.0,0|16702|1223971,,
17555.0,0|16702|1224590,,
21410.0,0|16702|1241568,,
35739.0,0|16702|1244852,,
15556.0,0|16702|1247440,,
15702.0,0|16702|1263198,,
17556.0,0|16702|1263794,,
16029.0,0|16702|1266111,,
16030.0,0|16702|1266112,,
16279.0,0|16702|1266114,,
19808.0,0|16702|1266148,,
21397.0,0|16702|1269015,,
33629.0,0|16702|1269908,,
61236.0,0|16702|1270394,,
35548.0,0|16702|1273278,,
35389.0,0|16702|1274879,,
36684.0,0|16702|1275818,,
67212.0,0|16702|1280948,,
2068830.0,0|16702|1286657,,
67799.0,0|16702|1289431,,
2068829.0,0|16702|1289466,,
2069278.0,0|16702|1290931,,
52690.0,0|16704|1270123,,
27621.0,0|16704|1271155,,
17607.0,0|16775|1263794,,
21432.0,0|16810|1266168,,
20466.0,0|16810|1268723,,
20543.0,0|16810|1269095,,
17032.0,0|16844|1264586,,
36791.0,0|16844|1269874,,
37573.0,0|16844|1276378,,
65964.0,0|16844|1288378,,
66580.0,0|16844|1288915,,
18202.0,0|17001|1224590,,
26733.0,0|17001|1244852,,
26448.0,0|17001|1247440,,
18998.0,0|17001|1263794,,
18199.0,0|17001|1266132,,
26575.0,0|17001|1266197,,
21400.0,0|17001|1269015,,
33204.0,0|17001|1269908,,
35047.0,0|17001|1273110,,
35390.0,0|17001|1274879,,
18200.0,0|17022|1224590,,
18995.0,0|17022|1263794,,
18882.0,0|17022|1264586,,
66656.0,0|17022|1288736,,
2069787.0,0|17022|1289446,,
20732.0,0|17078|1247440,,
20675.0,0|17078|1266158,,
20677.0,0|17078|1266159,,
22946.0,0|17078|1266185,,
18204.0,0|17079|1224590,,
19003.0,0|17079|1263794,,
60378.0,0|17079|1269874,,
60411.0,0|17079|1272135,,
66657.0,0|17079|1288736,,
32465.0,0|17161|1247440,,
18210.0,0|17189|1224590,,
18997.0,0|17189|1263794,,
32616.0,0|17189|1273072,,
32617.0,0|17189|1273073,,
32997.0,0|17189|1273084,,
33354.0,0|17189|1273090,,
32069.0,0|17189|1273278,,
67561.0,0|17189|1273420,,
2067983.0,0|17189|1289393,,
31218.0,0|17190|1267189,,
